,Country,CountryID,Continent,Adolescent fertility rate (%),Adult literacy rate (%),Gross national income per capita (PPP international $),Net primary school enrolment ratio female (%),Net primary school enrolment ratio male (%),Population (in thousands) total
59,Fiji,60,6,35.0,,4450.0,91.0,91.0,833.0
60,Finland,61,2,11.0,,33170.0,97.0,97.0,5261.0
61,France,62,2,8.0,,32240.0,99.0,98.0,61330.0
62,French Polynesia,63,6,,,,,,
63,Gabon,64,3,144.0,83.8,11180.0,88.0,88.0,1311.0
64,Gambia,65,3,167.0,,1110.0,64.0,59.0,1663.0
65,Georgia,66,2,47.0,,3880.0,91.0,88.0,4433.0
66,Germany,67,2,11.0,,32680.0,98.0,98.0,82641.0
67,Ghana,68,3,74.0,57.9,1240.0,71.0,73.0,23008.0
68,Greece,69,2,11.0,96.0,30870.0,99.0,100.0,11123.0
69,Grenada,70,5,53.0,,8770.0,83.0,84.0,106.0
70,Guatemala,71,5,120.0,69.1,5120.0,92.0,96.0,13029.0
71,Guinea,72,3,153.0,29.5,1130.0,66.0,77.0,9181.0
72,Guinea-Bissau,73,3,,,460.0,37.0,53.0,1646.0
73,Guyana,74,5,90.0,,3410.0,89.0,89.0,739.0
74,Haiti,75,5,69.0,,1070.0,22.0,21.0,9446.0
75,Honduras,76,5,108.0,80.0,3420.0,97.0,96.0,6969.0
76,"Hong Kong, China",77,6,,,,,,
77,Hungary,78,2,21.0,,16970.0,88.0,89.0,10058.0
78,Iceland,79,2,16.0,,33740.0,97.0,98.0,298.0
79,India,80,7,97.0,61.0,2460.0,87.0,90.0,1151751.0
80,Indonesia,81,6,54.0,90.4,3310.0,94.0,97.0,228864.0
81,Iran (Islamic Republic of),82,1,35.0,82.4,9800.0,100.0,91.0,70270.0
82,Iraq,83,1,17.0,74.1,,82.0,95.0,28506.0
83,Ireland,84,2,19.0,,34730.0,95.0,94.0,4221.0
84,Israel,85,1,15.0,,23840.0,97.0,96.0,6810.0
85,Italy,86,2,7.0,98.4,28970.0,98.0,99.0,58779.0
86,Jamaica,87,5,65.0,79.9,7050.0,90.0,90.0,2699.0
87,Japan,88,6,6.0,,32840.0,100.0,100.0,127953.0
88,Jordan,89,1,30.0,91.1,4820.0,90.0,89.0,5729.0
89,Kazakhstan,90,2,26.0,99.5,8700.0,90.0,90.0,15314.0
90,Kenya,91,3,116.0,73.6,1470.0,76.0,75.0,36553.0
91,Kiribati,92,6,,,6230.0,98.0,96.0,94.0
92,"Korea, Dem. Rep.",93,6,0.0,,,,,
93,"Korea, Rep.",94,6,2.0,,22990.0,93.0,100.0,
94,Kuwait,95,1,15.0,93.3,48310.0,83.0,84.0,2779.0
95,Kyrgyzstan,96,2,27.0,98.7,1790.0,85.0,86.0,5259.0
96,Lao People's Democratic Republic,97,6,110.0,68.7,1740.0,81.0,86.0,5759.0
97,Latvia,98,2,16.0,99.7,14840.0,92.0,89.0,2289.0
98,Lebanon,99,3,18.0,,9600.0,82.0,82.0,4055.0
99,Lesotho,100,3,98.0,82.2,1810.0,74.0,71.0,1995.0
100,Liberia,101,3,,60.0,260.0,39.0,40.0,3579.0
101,Libyan Arab Jamahiriya,102,1,7.0,85.0,11630.0,91.0,95.0,6039.0
102,Lithuania,103,2,19.0,99.6,14550.0,89.0,90.0,3408.0
103,Luxembourg,104,2,11.0,,60870.0,98.0,96.0,461.0
104,"Macao, China",105,6,,,,,,
105,Macedonia,106,2,23.0,96.1,7850.0,92.0,92.0,2036.0
106,Madagascar,107,3,154.0,70.7,870.0,96.0,96.0,19159.0
107,Malawi,108,3,160.0,64.1,690.0,94.0,88.0,13571.0
108,Malaysia,109,6,12.0,88.7,12160.0,100.0,100.0,26114.0
109,Maldives,110,7,8.0,96.3,4740.0,97.0,97.0,300.0
110,Mali,111,3,192.0,24.0,1000.0,54.0,67.0,11968.0
111,Malta,112,1,17.0,87.9,20990.0,91.0,92.0,405.0
112,Marshall Islands,113,6,,,8040.0,66.0,67.0,58.0
113,Mauritania,114,3,88.0,51.2,1970.0,82.0,78.0,3044.0
114,Mauritius,115,3,36.0,84.3,10640.0,96.0,94.0,1252.0
115,Mexico,116,4,94.0,91.6,11990.0,97.0,98.0,105342.0
