stationName,stationLatitude,stationLongitude,station_no,addr1,addr2,x,y
428. 명보사거리,37.56439972,126.9914322,428, 을지로동, 중구,60,127
429. 송도병원,37.54988861,127.0073471,429, 다산동, 중구,60,126
430. 장충동먹자골목 앞,37.56212616,127.0062561,430, 장충동, 중구,60,127
431. 청계천 영도교,37.5710144,127.0197449,431, 황학동, 중구,61,127
432. 마포중앙도서관,37.56333923,126.9082031,432, 성산1동, 마포구,59,127
433. 을지로입구역 2번출구,37.56634521,126.9822922,433, 명동, 중구,60,127
434. 신당 래미안 버스정류장,37.56148911,127.0239334,434, 왕십리2동, 성동구,61,127
435. SK 남산빌딩,37.55686188,126.9756165,435, 회현동, 중구,60,126
436. 이대역 5번출구,37.55659103,126.9461899,436, 대흥동, 마포구,59,126
437. 대흥역 1번출구,37.54846954,126.9409256,437, 대흥동, 마포구,59,126
438. 성산2-1 공영주차장,37.56472015,126.9067688,438, 성산2동, 마포구,59,127
440. 하늘공원 입구,37.57012177,126.8813477,440, 상암동, 마포구,58,127
441.염천교사거리,37.55989075,126.9714966,441, 소공동, 중구,60,127
442.서울역 서부,37.55641556,126.9691925,442, 중림동, 중구,60,126
443.호암아트홀,37.5621109,126.9707184,443, 소공동, 중구,60,127
445.대한상공회의소,37.56015396,126.9741058,445, 소공동, 중구,60,127
446. 상명대입구,37.60012817,126.9578323,446, 홍은1동, 종로구,59,127
447. 신영동삼거리,37.60399246,126.9619446,447, 부암동, 종로구,60,128
449. 일성아파트,37.60871887,126.9728622,449, 평창동, 종로구,60,128
450. 효자동 삼거리,37.58360291,126.9725494,450, 청운효자동, 종로구,60,127
451. 청와대앞길,37.58351517,126.9796677,451, 삼청동, 종로구,60,127
452. 동대문 종합시장 버스정류장,37.57123947,127.0044098,452, 종로5·6가동, 종로구,60,127
453. 종로오가 지하쇼핑센터 14번출구,37.57114029,127.0006714,453, 종로5·6가동, 종로구,60,127
454. 종로2가 버스정류장 (종각방향),37.57035828,126.9863815,454, 창신2동, 종로구,60,127
455. 종로6가역 버스정류장(동대문 방향),37.570961,127.0060577,455, 종로5·6가동, 종로구,60,127
456. 숭인2동 주민센터 입구,37.57447052,127.0198288,456, 숭인2동, 종로구,61,127
457. 종로꽃시장 입구 옆,37.57131958,127.0072098,457, 종로5·6가동, 종로구,60,127
458. 광화문역 5번출구,37.56989288,126.9775696,458, 종로1·2·3·4가동, 종로구,60,127
461. 서울지방경찰청,37.57436371,126.9723663,461, 사직동, 종로구,60,127
462. 신영동삼거리(북악터널방향),37.60351181,126.9620667,462, 평창동, 종로구,60,128
464. 삼청동 골목,37.58419037,126.9816971,464, 삼청동, 종로구,60,127
465. 삼청공원 앞,37.58760452,126.9835968,465, 삼청동, 종로구,60,127
466.롯데호텔,37.56584167,126.9798126,466, 명동, 중구,60,127
467.한국은행,37.5622139,126.9808655,467, 소공동, 중구,60,127
468.웨스틴 조선호텔,37.56415939,126.9794846,468, 소공동, 중구,60,127
469.회현역 1번출구,37.5592308,126.9801407,469, 회현동, 중구,60,127
470.회현역 7번출구,37.55974579,126.9800034,470, 회현동, 중구,60,127
471.회현사거리 남측,37.56035995,126.9826508,471, 명동, 중구,60,127
472.삼일교(시그니쳐 타워),37.56787109,126.9884033,472, 창신2동, 종로구,60,127
473.을지로4가역 9번출구,37.56605148,126.9979858,473, 을지로동, 중구,60,127
474.동대문역사문화공원역 1번출구 뒤편,37.56629944,127.0084915,474, 광희동, 중구,60,127
475.DDP 패션몰,37.56764984,127.0118103,475, 신당동, 중구,60,127
476.광희문,37.56443024,127.0099564,476, 광희동, 중구,60,127
477.앰배서더 호텔 주변,37.55928802,127.0026856,477, 장충동, 중구,60,127
479.동대입구역 3번 출구,37.55937576,127.0060272,479, 장충동, 중구,60,127
480.약수역 6번 출구,37.55432129,127.010704,480, 약수동, 중구,60,126
481.신당역 10번 출구,37.56703186,127.0157929,481, 신당동, 중구,60,127
483.남산타운아파트 버스정류장,37.54758453,127.0064392,483, 다산동, 중구,60,126
484.도동삼거리,37.55614853,126.9774246,484, 회현동, 중구,60,126
485.서울역5번출구,37.55677032,126.9731979,485, 회현동, 중구,60,126
486. 평창동주민센터 앞,37.60627365,126.9683228,486, 평창동, 종로구,60,128
487.신석초교앞 교차로 교통섬,37.54364014,126.9383087,487, 신수동, 마포구,59,126
488.푸르메병원,37.58456802,126.8802109,488, 상암동, 마포구,58,127
489.구룡근린공원,37.58320236,126.8827667,489, 상암동, 마포구,58,127
490.가온문화공원,37.58207703,126.8876648,490, 상암동, 마포구,58,127
491.월드컵파크 4단지,37.57597733,126.8880692,491, 상암동, 마포구,58,127
493.홍대입구역 6번출구,37.55657578,126.9288559,493, 서교동, 마포구,59,126
494.신수동주민센터,37.54724503,126.9350281,494, 신수동, 마포구,59,126
495.염리초등학교 앞,37.54243088,126.9469986,495, 용강동, 마포구,59,126
497.합정동주민센터 앞,37.551754,126.9123001,497, 합정동, 마포구,59,126
498.연남동주민센터 앞,37.56465149,126.9221268,498, 연남동, 마포구,59,127
500. 어린이대공원역 3번출구 앞,37.54706955,127.0742722,500, 화양동, 광진구,61,126
501. 광진구의회 앞,37.53730774,127.0703507,501, 자양3동, 광진구,61,126
